"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	78	9654	808.0
	"< 1 year"	"1"	"2000"	"2000"	62	9743	636.4
	"< 1 year"	"1"	"2001"	"2001"	62	9748	636.0
	"< 1 year"	"1"	"2002"	"2002"	76	9701	783.4
	"< 1 year"	"1"	"2003"	"2003"	62	9611	645.1
	"< 1 year"	"1"	"2004"	"2004"	82	9731	842.7
	"< 1 year"	"1"	"2005"	"2005"	82	9841	833.2
	"< 1 year"	"1"	"2006"	"2006"	70	10389	673.8
	"< 1 year"	"1"	"2007"	"2007"	78	11020	707.8
	"< 1 year"	"1"	"2008"	"2008"	86	11143	771.8
	"< 1 year"	"1"	"2009"	"2009"	74	10681	692.8
	"< 1 year"	"1"	"2010"	"2010"	76	10324	736.1
	"< 1 year"	"1"	"2011"	"2011"	75	11884	631.1
	"< 1 year"	"1"	"2012"	"2012"	63	11199	562.6
	"< 1 year"	"1"	"2013"	"2013"	74	10439	708.9
	"< 1 year"	"1"	"2014"	"2014"	64	10371	617.1
	"< 1 year"	"1"	"2015"	"2015"	71	10630	667.9
	"< 1 year"	"1"	"2016"	"2016"	64	10826	591.2
	"1-4 years"	"1-4"	"1999"	"1999"	15	37525	Unreliable
	"1-4 years"	"1-4"	"2000"	"2000"	11	38261	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	12	38679	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	15	39077	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	14	39132	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	13	39177	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	11	39064	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	Suppressed	39623	Suppressed
	"1-4 years"	"1-4"	"2007"	"2007"	16	40734	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	12	42142	Unreliable
	"1-4 years"	"1-4"	"2009"	"2009"	18	43448	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	12	43645	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	12	43337	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	11	42716	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	12	42256	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	11	42042	Unreliable
