"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	201	25378	792.0
	"< 1 year"	"1"	"2000"	"2000"	249	25686	969.4
	"< 1 year"	"1"	"2001"	"2001"	228	27876	817.9
	"< 1 year"	"1"	"2002"	"2002"	220	27686	794.6
	"< 1 year"	"1"	"2003"	"2003"	217	27772	781.4
	"< 1 year"	"1"	"2004"	"2004"	255	27961	912.0
	"< 1 year"	"1"	"2005"	"2005"	236	28681	822.8
	"< 1 year"	"1"	"2006"	"2006"	241	30355	793.9
	"< 1 year"	"1"	"2007"	"2007"	215	31560	681.2
	"< 1 year"	"1"	"2008"	"2008"	220	31907	689.5
	"< 1 year"	"1"	"2009"	"2009"	211	30935	682.1
	"< 1 year"	"1"	"2010"	"2010"	202	30585	660.5
	"< 1 year"	"1"	"2011"	"2011"	162	30640	528.7
	"< 1 year"	"1"	"2012"	"2012"	183	30194	606.1
	"< 1 year"	"1"	"2013"	"2013"	198	30176	656.2
	"< 1 year"	"1"	"2014"	"2014"	206	30343	678.9
	"< 1 year"	"1"	"2015"	"2015"	207	30813	671.8
	"< 1 year"	"1"	"2016"	"2016"	211	31589	668.0
	"1-4 years"	"1-4"	"1999"	"1999"	31	96588	32.1
	"1-4 years"	"1-4"	"2000"	"2000"	28	99211	28.2
	"1-4 years"	"1-4"	"2001"	"2001"	35	102623	34.1
	"1-4 years"	"1-4"	"2002"	"2002"	32	106718	30.0
	"1-4 years"	"1-4"	"2003"	"2003"	30	110287	27.2
	"1-4 years"	"1-4"	"2004"	"2004"	37	112932	32.8
	"1-4 years"	"1-4"	"2005"	"2005"	23	116392	19.8
	"1-4 years"	"1-4"	"2006"	"2006"	29	119123	24.3
	"1-4 years"	"1-4"	"2007"	"2007"	37	123775	29.9
	"1-4 years"	"1-4"	"2008"	"2008"	29	127676	22.7
	"1-4 years"	"1-4"	"2009"	"2009"	34	129520	26.3
