"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	295	34297	860.1
	"< 1 year"	"1"	"2000"	"2000"	285	34150	834.6
	"< 1 year"	"1"	"2001"	"2001"	285	35517	802.4
	"< 1 year"	"1"	"2002"	"2002"	318	35081	906.5
	"< 1 year"	"1"	"2003"	"2003"	309	34591	893.3
	"< 1 year"	"1"	"2004"	"2004"	285	35285	807.7
	"< 1 year"	"1"	"2005"	"2005"	277	34802	795.9
	"< 1 year"	"1"	"2006"	"2006"	270	35088	769.5
	"< 1 year"	"1"	"2007"	"2007"	299	36078	828.8
	"< 1 year"	"1"	"2008"	"2008"	273	35552	767.9
	"< 1 year"	"1"	"2009"	"2009"	269	34482	780.1
	"< 1 year"	"1"	"2010"	"2010"	230	34083	674.8
	"< 1 year"	"1"	"2011"	"2011"	226	34099	662.8
	"< 1 year"	"1"	"2012"	"2012"	211	33481	630.2
	"< 1 year"	"1"	"2013"	"2013"	221	33725	655.3
	"< 1 year"	"1"	"2014"	"2014"	224	33174	675.2
	"< 1 year"	"1"	"2015"	"2015"	234	33430	700.0
	"< 1 year"	"1"	"2016"	"2016"	220	33234	662.0
	"1-4 years"	"1-4"	"1999"	"1999"	54	144615	37.3
	"1-4 years"	"1-4"	"2000"	"2000"	54	143397	37.7
	"1-4 years"	"1-4"	"2001"	"2001"	55	141037	39.0
	"1-4 years"	"1-4"	"2002"	"2002"	55	141159	39.0
	"1-4 years"	"1-4"	"2003"	"2003"	48	140974	34.0
	"1-4 years"	"1-4"	"2004"	"2004"	45	140403	32.1
	"1-4 years"	"1-4"	"2005"	"2005"	34	140656	24.2
	"1-4 years"	"1-4"	"2006"	"2006"	29	140094	20.7
	"1-4 years"	"1-4"	"2007"	"2007"	50	139502	35.8
	"1-4 years"	"1-4"	"2008"	"2008"	33	141172	23.4
	"1-4 years"	"1-4"	"2009"	"2009"	46	141764	32.4
	"1-4 years"	"1-4"	"2010"	"2010"	36	141957	25.4
	"1-4 years"	"1-4"	"2011"	"2011"	53	139956	37.9
	"1-4 years"	"1-4"	"2012"	"2012"	39	138811	28.1
