"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	75	11630	644.9
	"< 1 year"	"1"	"2000"	"2000"	97	11843	819.0
	"< 1 year"	"1"	"2001"	"2001"	80	13311	601.0
	"< 1 year"	"1"	"2002"	"2002"	78	13536	576.2
	"< 1 year"	"1"	"2003"	"2003"	93	13675	680.1
	"< 1 year"	"1"	"2004"	"2004"	105	14285	735.0
	"< 1 year"	"1"	"2005"	"2005"	97	14595	664.6
	"< 1 year"	"1"	"2006"	"2006"	108	15397	701.4
	"< 1 year"	"1"	"2007"	"2007"	122	15857	769.4
	"< 1 year"	"1"	"2008"	"2008"	105	15983	656.9
	"< 1 year"	"1"	"2009"	"2009"	122	15658	779.2
	"< 1 year"	"1"	"2010"	"2010"	86	15652	549.5
	"< 1 year"	"1"	"2011"	"2011"	110	15624	704.0
	"< 1 year"	"1"	"2012"	"2012"	112	15494	722.9
	"< 1 year"	"1"	"2013"	"2013"	77	15457	498.2
	"< 1 year"	"1"	"2014"	"2014"	77	15542	495.4
	"< 1 year"	"1"	"2015"	"2015"	100	15861	630.5
	"< 1 year"	"1"	"2016"	"2016"	89	16006	556.0
	"1-4 years"	"1-4"	"1999"	"1999"	13	44343	Unreliable
	"1-4 years"	"1-4"	"2000"	"2000"	12	46167	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	10	48666	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	15	51056	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	15	53453	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	15	55428	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	16	58137	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	16	60650	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	10	63563	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	23	66030	34.8
	"1-4 years"	"1-4"	"2009"	"2009"	12	66707	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	24	66669	36.0
	"1-4 years"	"1-4"	"2011"	"2011"	21	66635	31.5
	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	65519	Suppressed
	"1-4 years"	"1-4"	"2013"	"2013"	13	65086	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	64747	Suppressed
	"1-4 years"	"1-4"	"2015"	"2015"	10	64624	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	14	66268	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	21	109828	19.1
	"5-14 years"	"5-14"	"2000"	"2000"	24	113769	21.1
	"5-14 years"	"5-14"	"2001"	"2001"	23	118542	19.4
	"5-14 years"	"5-14"	"2002"	"2002"	14	122760	Unreliable
	"5-14 years"	"5-14"	"2003"	"2003"	12	126760	Unreliable
