"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	41	8780	467.0
	"< 1 year"	"1"	"2000"	"2000"	47	8757	536.7
	"< 1 year"	"1"	"2001"	"2001"	63	9173	686.8
	"< 1 year"	"1"	"2002"	"2002"	55	8887	618.9
	"< 1 year"	"1"	"2003"	"2003"	86	9177	937.1
	"< 1 year"	"1"	"2004"	"2004"	52	9314	558.3
	"< 1 year"	"1"	"2005"	"2005"	59	9239	638.6
	"< 1 year"	"1"	"2006"	"2006"	63	9461	665.9
	"< 1 year"	"1"	"2007"	"2007"	54	9862	547.6
	"< 1 year"	"1"	"2008"	"2008"	64	9922	645.0
	"< 1 year"	"1"	"2009"	"2009"	49	9519	514.8
	"< 1 year"	"1"	"2010"	"2010"	58	9342	620.9
	"< 1 year"	"1"	"2011"	"2011"	64	9260	691.1
	"< 1 year"	"1"	"2012"	"2012"	53	9212	575.3
	"< 1 year"	"1"	"2013"	"2013"	46	9339	492.6
	"< 1 year"	"1"	"2014"	"2014"	62	9456	655.7
	"< 1 year"	"1"	"2015"	"2015"	74	9259	799.2
	"< 1 year"	"1"	"2016"	"2016"	63	9369	672.4
	"1-4 years"	"1-4"	"1999"	"1999"	Suppressed	35646	Suppressed
	"1-4 years"	"1-4"	"2000"	"2000"	13	35943	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	Suppressed	35936	Suppressed
	"1-4 years"	"1-4"	"2002"	"2002"	13	36488	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	Suppressed	36806	Suppressed
	"1-4 years"	"1-4"	"2004"	"2004"	11	36800	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	13	37354	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	12	37637	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	12	38196	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	38944	Suppressed
	"1-4 years"	"1-4"	"2009"	"2009"	11	39212	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	39209	Suppressed
