"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	105	14075	746.0
	"< 1 year"	"1"	"2000"	"2000"	120	14247	842.3
	"< 1 year"	"1"	"2001"	"2001"	109	14739	739.5
	"< 1 year"	"1"	"2002"	"2002"	105	14281	735.2
	"< 1 year"	"1"	"2003"	"2003"	124	14002	885.6
	"< 1 year"	"1"	"2004"	"2004"	101	14393	701.7
	"< 1 year"	"1"	"2005"	"2005"	85	14211	598.1
	"< 1 year"	"1"	"2006"	"2006"	117	14029	834.0
	"< 1 year"	"1"	"2007"	"2007"	91	14224	639.8
	"< 1 year"	"1"	"2008"	"2008"	99	13699	722.7
	"< 1 year"	"1"	"2009"	"2009"	81	13179	614.6
	"< 1 year"	"1"	"2010"	"2010"	88	13210	666.2
	"< 1 year"	"1"	"2011"	"2011"	87	13051	666.6
	"< 1 year"	"1"	"2012"	"2012"	75	13035	575.4
	"< 1 year"	"1"	"2013"	"2013"	74	13616	543.5
	"< 1 year"	"1"	"2014"	"2014"	67	13782	486.1
	"< 1 year"	"1"	"2015"	"2015"	80	13898	575.6
	"< 1 year"	"1"	"2016"	"2016"	79	13826	571.4
	"1-4 years"	"1-4"	"1999"	"1999"	22	55925	39.3
	"1-4 years"	"1-4"	"2000"	"2000"	16	56298	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	19	56931	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	10	57599	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	11	57863	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	14	57611	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	19	57605	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	Suppressed	57049	Suppressed
	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	56857	Suppressed
	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	57005	Suppressed
	"1-4 years"	"1-4"	"2009"	"2009"	12	56342	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	13	55874	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	13	55426	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	11	54800	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	13	54336	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	12	54568	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	11	55084	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	11	55793	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	26	147245	17.7
	"5-14 years"	"5-14"	"2000"	"2000"	25	148500	16.8
	"5-14 years"	"5-14"	"2001"	"2001"	36	148820	24.2
	"5-14 years"	"5-14"	"2002"	"2002"	30	148635	20.2
	"5-14 years"	"5-14"	"2003"	"2003"	29	148258	19.6
	"5-14 years"	"5-14"	"2004"	"2004"	36	147897	24.3
	"5-14 years"	"5-14"	"2005"	"2005"	27	146581	18.4
	"5-14 years"	"5-14"	"2006"	"2006"	24	145910	16.4
	"5-14 years"	"5-14"	"2007"	"2007"	30	144983	20.7
	"5-14 years"	"5-14"	"2008"	"2008"	24	144124	16.7
	"5-14 years"	"5-14"	"2009"	"2009"	17	143743	Unreliable
	"5-14 years"	"5-14"	"2010"	"2010"	13	143181	Unreliable
	"5-14 years"	"5-14"	"2011"	"2011"	16	142678	Unreliable
	"5-14 years"	"5-14"	"2012"	"2012"	12	143349	Unreliable
	"5-14 years"	"5-14"	"2013"	"2013"	15	143117	Unreliable
	"5-14 years"	"5-14"	"2014"	"2014"	16	142936	Unreliable
	"5-14 years"	"5-14"	"2015"	"2015"	19	142562	Unreliable
	"5-14 years"	"5-14"	"2016"	"2016"	18	141852	Unreliable
	"15-24 years"	"15-24"	"1999"	"1999"	101	138818	72.8
	"15-24 years"	"15-24"	"2000"	"2000"	95	141401	67.2
	"15-24 years"	"15-24"	"2001"	"2001"	91	145891	62.4
	"15-24 years"	"15-24"	"2002"	"2002"	100	147482	67.8
	"15-24 years"	"15-24"	"2003"	"2003"	80	148759	53.8
	"15-24 years"	"15-24"	"2004"	"2004"	92	148862	61.8
	"15-24 years"	"15-24"	"2005"	"2005"	84	149802	56.1
	"15-24 years"	"15-24"	"2006"	"2006"	69	150862	45.7
	"15-24 years"	"15-24"	"2007"	"2007"	93	151870	61.2
	"15-24 years"	"15-24"	"2008"	"2008"	86	151976	56.6
	"15-24 years"	"15-24"	"2009"	"2009"	58	151848	38.2
	"15-24 years"	"15-24"	"2010"	"2010"	71	151505	46.9
	"15-24 years"	"15-24"	"2011"	"2011"	66	150209	43.9
	"15-24 years"	"15-24"	"2012"	"2012"	94	150318	62.5
	"15-24 years"	"15-24"	"2013"	"2013"	82	152556	53.8
	"15-24 years"	"15-24"	"2014"	"2014"	67	152683	43.9
	"15-24 years"	"15-24"	"2015"	"2015"	65	153263	42.4
	"15-24 years"	"15-24"	"2016"	"2016"	79	152984	51.6
	"25-34 years"	"25-34"	"1999"	"1999"	96	133574	71.9
	"25-34 years"	"25-34"	"2000"	"2000"	109	132864	82.0
	"25-34 years"	"25-34"	"2001"	"2001"	94	131450	71.5
	"25-34 years"	"25-34"	"2002"	"2002"	105	130736	80.3
	"25-34 years"	"25-34"	"2003"	"2003"	123	130459	94.3
	"25-34 years"	"25-34"	"2004"	"2004"	89	130529	68.2
	"25-34 years"	"25-34"	"2005"	"2005"	104	129989	80.0
	"25-34 years"	"25-34"	"2006"	"2006"	93	129478	71.8
	"25-34 years"	"25-34"	"2007"	"2007"	100	129192	77.4
	"25-34 years"	"25-34"	"2008"	"2008"	90	129051	69.7
	"25-34 years"	"25-34"	"2009"	"2009"	106	129026	82.2
	"25-34 years"	"25-34"	"2010"	"2010"	104	128737	80.8
	"25-34 years"	"25-34"	"2011"	"2011"	99	132401	74.8
	"25-34 years"	"25-34"	"2012"	"2012"	128	135021	94.8
	"25-34 years"	"25-34"	"2013"	"2013"	99	137778	71.9
	"25-34 years"	"25-34"	"2014"	"2014"	114	141406	80.6
	"25-34 years"	"25-34"	"2015"	"2015"	133	144728	91.9
	"25-34 years"	"25-34"	"2016"	"2016"	144	148286	97.1
	"35-44 years"	"35-44"	"1999"	"1999"	207	150481	137.6
	"35-44 years"	"35-44"	"2000"	"2000"	217	150979	143.7
	"35-44 years"	"35-44"	"2001"	"2001"	200	150143	133.2
	"35-44 years"	"35-44"	"2002"	"2002"	239	148059	161.4
	"35-44 years"	"35-44"	"2003"	"2003"	224	145806	153.6
	"35-44 years"	"35-44"	"2004"	"2004"	224	143635	156.0
	"35-44 years"	"35-44"	"2005"	"2005"	204	141748	143.9
	"35-44 years"	"35-44"	"2006"	"2006"	189	139582	135.4
	"35-44 years"	"35-44"	"2007"	"2007"	174	136383	127.6
	"35-44 years"	"35-44"	"2008"	"2008"	176	132457	132.9
