"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	95	12278	773.7
	"< 1 year"	"1"	"2000"	"2000"	110	12321	892.8
	"< 1 year"	"1"	"2001"	"2001"	89	12928	688.4
	"< 1 year"	"1"	"2002"	"2002"	116	12932	897.0
	"< 1 year"	"1"	"2003"	"2003"	94	12667	742.1
	"< 1 year"	"1"	"2004"	"2004"	90	12612	713.6
	"< 1 year"	"1"	"2005"	"2005"	105	12605	833.0
	"< 1 year"	"1"	"2006"	"2006"	109	12818	850.4
	"< 1 year"	"1"	"2007"	"2007"	127	13231	959.9
	"< 1 year"	"1"	"2008"	"2008"	96	13063	734.9
	"< 1 year"	"1"	"2009"	"2009"	96	13091	733.3
	"< 1 year"	"1"	"2010"	"2010"	96	12914	743.4
	"< 1 year"	"1"	"2011"	"2011"	81	13525	598.9
	"< 1 year"	"1"	"2012"	"2012"	119	13044	912.3
	"< 1 year"	"1"	"2013"	"2013"	93	12958	717.7
	"< 1 year"	"1"	"2014"	"2014"	110	13148	836.6
	"< 1 year"	"1"	"2015"	"2015"	90	13256	678.9
	"< 1 year"	"1"	"2016"	"2016"	115	13235	868.9
	"1-4 years"	"1-4"	"1999"	"1999"	26	48592	53.5
	"1-4 years"	"1-4"	"2000"	"2000"	18	49159	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	18	49220	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	11	50086	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	16	50183	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	14	49827	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	18	49907	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	16	50272	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	24	50670	47.4
	"1-4 years"	"1-4"	"2008"	"2008"	25	51543	48.5
	"1-4 years"	"1-4"	"2009"	"2009"	19	52885	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	19	53406	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	22	53191	41.4
	"1-4 years"	"1-4"	"2012"	"2012"	13	52744	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	24	53311	45.0
	"1-4 years"	"1-4"	"2014"	"2014"	18	53387	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	15	53625	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	15	54391	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	24	129253	18.6
	"5-14 years"	"5-14"	"2000"	"2000"	16	129021	Unreliable
	"5-14 years"	"5-14"	"2001"	"2001"	29	128535	22.6
	"5-14 years"	"5-14"	"2002"	"2002"	16	128133	Unreliable
	"5-14 years"	"5-14"	"2003"	"2003"	35	127415	27.5
	"5-14 years"	"5-14"	"2004"	"2004"	23	126489	18.2
	"5-14 years"	"5-14"	"2005"	"2005"	27	125660	21.5
	"5-14 years"	"5-14"	"2006"	"2006"	29	127015	22.8
	"5-14 years"	"5-14"	"2007"	"2007"	25	128158	19.5
	"5-14 years"	"5-14"	"2008"	"2008"	30	129248	23.2
	"5-14 years"	"5-14"	"2009"	"2009"	26	131368	19.8
	"5-14 years"	"5-14"	"2010"	"2010"	22	133115	16.5
	"5-14 years"	"5-14"	"2011"	"2011"	27	133913	20.2
	"5-14 years"	"5-14"	"2012"	"2012"	13	134548	Unreliable
	"5-14 years"	"5-14"	"2013"	"2013"	24	135815	17.7
	"5-14 years"	"5-14"	"2014"	"2014"	21	136336	15.4
	"5-14 years"	"5-14"	"2015"	"2015"	32	137270	23.3
	"5-14 years"	"5-14"	"2016"	"2016"	20	137270	14.6
	"15-24 years"	"15-24"	"1999"	"1999"	114	118276	96.4
	"15-24 years"	"15-24"	"2000"	"2000"	123	118712	103.6
	"15-24 years"	"15-24"	"2001"	"2001"	110	120774	91.1
	"15-24 years"	"15-24"	"2002"	"2002"	121	122319	98.9
	"15-24 years"	"15-24"	"2003"	"2003"	138	123161	112.0
	"15-24 years"	"15-24"	"2004"	"2004"	149	122838	121.3
	"15-24 years"	"15-24"	"2005"	"2005"	125	122975	101.6
	"15-24 years"	"15-24"	"2006"	"2006"	136	123248	110.3
	"15-24 years"	"15-24"	"2007"	"2007"	134	124349	107.8
	"15-24 years"	"15-24"	"2008"	"2008"	153	124796	122.6
	"15-24 years"	"15-24"	"2009"	"2009"	134	125613	106.7
	"15-24 years"	"15-24"	"2010"	"2010"	124	125668	98.7
	"15-24 years"	"15-24"	"2011"	"2011"	125	125485	99.6
	"15-24 years"	"15-24"	"2012"	"2012"	122	126329	96.6
	"15-24 years"	"15-24"	"2013"	"2013"	117	127297	91.9
	"15-24 years"	"15-24"	"2014"	"2014"	114	127540	89.4
	"15-24 years"	"15-24"	"2015"	"2015"	116	128517	90.3
	"15-24 years"	"15-24"	"2016"	"2016"	113	127499	88.6
	"25-34 years"	"25-34"	"1999"	"1999"	146	117389	124.4
	"25-34 years"	"25-34"	"2000"	"2000"	126	117456	107.3
	"25-34 years"	"25-34"	"2001"	"2001"	148	116695	126.8
	"25-34 years"	"25-34"	"2002"	"2002"	147	117284	125.3
	"25-34 years"	"25-34"	"2003"	"2003"	164	116102	141.3
	"25-34 years"	"25-34"	"2004"	"2004"	160	114805	139.4
	"25-34 years"	"25-34"	"2005"	"2005"	177	114877	154.1
	"25-34 years"	"25-34"	"2006"	"2006"	177	116241	152.3
	"25-34 years"	"25-34"	"2007"	"2007"	188	119027	157.9
	"25-34 years"	"25-34"	"2008"	"2008"	192	121137	158.5
	"25-34 years"	"25-34"	"2009"	"2009"	195	124465	156.7
	"25-34 years"	"25-34"	"2010"	"2010"	197	125812	156.6
	"25-34 years"	"25-34"	"2011"	"2011"	184	128151	143.6
	"25-34 years"	"25-34"	"2012"	"2012"	193	128402	150.3
	"25-34 years"	"25-34"	"2013"	"2013"	167	130042	128.4
	"25-34 years"	"25-34"	"2014"	"2014"	166	131874	125.9
	"25-34 years"	"25-34"	"2015"	"2015"	214	134537	159.1
	"25-34 years"	"25-34"	"2016"	"2016"	221	136669	161.7
	"35-44 years"	"35-44"	"1999"	"1999"	293	136235	215.1
	"35-44 years"	"35-44"	"2000"	"2000"	322	135200	238.2
	"35-44 years"	"35-44"	"2001"	"2001"	330	133642	246.9
	"35-44 years"	"35-44"	"2002"	"2002"	317	131351	241.3
	"35-44 years"	"35-44"	"2003"	"2003"	324	128603	251.9
	"35-44 years"	"35-44"	"2004"	"2004"	295	126102	233.9
	"35-44 years"	"35-44"	"2005"	"2005"	347	124689	278.3
	"35-44 years"	"35-44"	"2006"	"2006"	294	124295	236.5
	"35-44 years"	"35-44"	"2007"	"2007"	297	123605	240.3
	"35-44 years"	"35-44"	"2008"	"2008"	297	122457	242.5
	"35-44 years"	"35-44"	"2009"	"2009"	297	121473	244.5
	"35-44 years"	"35-44"	"2010"	"2010"	275	121070	227.1
	"35-44 years"	"35-44"	"2011"	"2011"	282	120602	233.8
	"35-44 years"	"35-44"	"2012"	"2012"	299	120759	247.6
	"35-44 years"	"35-44"	"2013"	"2013"	279	121379	229.9
	"35-44 years"	"35-44"	"2014"	"2014"	298	121617	245.0
	"35-44 years"	"35-44"	"2015"	"2015"	327	122869	266.1
	"35-44 years"	"35-44"	"2016"	"2016"	328	123151	266.3
	"45-54 years"	"45-54"	"1999"	"1999"	505	114452	441.2
	"45-54 years"	"45-54"	"2000"	"2000"	564	117587	479.6
	"45-54 years"	"45-54"	"2001"	"2001"	590	122441	481.9
	"45-54 years"	"45-54"	"2002"	"2002"	605	123562	489.6
	"45-54 years"	"45-54"	"2003"	"2003"	635	125367	506.5
	"45-54 years"	"45-54"	"2004"	"2004"	613	126666	483.9
	"45-54 years"	"45-54"	"2005"	"2005"	701	128768	544.4
	"45-54 years"	"45-54"	"2006"	"2006"	692	131023	528.2
	"45-54 years"	"45-54"	"2007"	"2007"	746	132485	563.1
	"45-54 years"	"45-54"	"2008"	"2008"	751	133968	560.6
	"45-54 years"	"45-54"	"2009"	"2009"	743	134374	552.9
	"45-54 years"	"45-54"	"2010"	"2010"	697	134069	519.9
	"45-54 years"	"45-54"	"2011"	"2011"	692	132247	523.3
	"45-54 years"	"45-54"	"2012"	"2012"	689	129848	530.6
	"45-54 years"	"45-54"	"2013"	"2013"	707	127905	552.8
	"45-54 years"	"45-54"	"2014"	"2014"	676	126742	533.4
	"45-54 years"	"45-54"	"2015"	"2015"	674	125951	535.1
	"45-54 years"	"45-54"	"2016"	"2016"	614	124723	492.3
	"55-64 years"	"55-64"	"1999"	"1999"	852	75338	1130.9
	"55-64 years"	"55-64"	"2000"	"2000"	871	76629	1136.6
	"55-64 years"	"55-64"	"2001"	"2001"	837	78870	1061.2
	"55-64 years"	"55-64"	"2002"	"2002"	959	84035	1141.2
	"55-64 years"	"55-64"	"2003"	"2003"	971	87717	1107.0
	"55-64 years"	"55-64"	"2004"	"2004"	978	91048	1074.2
	"55-64 years"	"55-64"	"2005"	"2005"	1095	94375	1160.3
	"55-64 years"	"55-64"	"2006"	"2006"	1075	97839	1098.7
	"55-64 years"	"55-64"	"2007"	"2007"	1064	101564	1047.6
	"55-64 years"	"55-64"	"2008"	"2008"	1197	104541	1145.0
	"55-64 years"	"55-64"	"2009"	"2009"	1204	108108	1113.7
	"55-64 years"	"55-64"	"2010"	"2010"	1223	111010	1101.7
	"55-64 years"	"55-64"	"2011"	"2011"	1250	115940	1078.1
	"55-64 years"	"55-64"	"2012"	"2012"	1224	117105	1045.2
	"55-64 years"	"55-64"	"2013"	"2013"	1338	119541	1119.3
	"55-64 years"	"55-64"	"2014"	"2014"	1452	121154	1198.5
	"55-64 years"	"55-64"	"2015"	"2015"	1355	123456	1097.6
	"55-64 years"	"55-64"	"2016"	"2016"	1414	124458	1136.1
	"65-74 years"	"65-74"	"1999"	"1999"	1546	55811	2770.1
	"65-74 years"	"65-74"	"2000"	"2000"	1475	55948	2636.4
	"65-74 years"	"65-74"	"2001"	"2001"	1450	56091	2585.1
	"65-74 years"	"65-74"	"2002"	"2002"	1379	56133	2456.7
	"65-74 years"	"65-74"	"2003"	"2003"	1455	56557	2572.6
	"65-74 years"	"65-74"	"2004"	"2004"	1365	57317	2381.5
	"65-74 years"	"65-74"	"2005"	"2005"	1466	57973	2528.8
	"65-74 years"	"65-74"	"2006"	"2006"	1435	59399	2415.9
	"65-74 years"	"65-74"	"2007"	"2007"	1445	60924	2371.8
	"65-74 years"	"65-74"	"2008"	"2008"	1480	63095	2345.7
	"65-74 years"	"65-74"	"2009"	"2009"	1485	65354	2272.2
	"65-74 years"	"65-74"	"2010"	"2010"	1487	66672	2230.3
	"65-74 years"	"65-74"	"2011"	"2011"	1538	68847	2233.9
	"65-74 years"	"65-74"	"2012"	"2012"	1647	73456	2242.2
	"65-74 years"	"65-74"	"2013"	"2013"	1715	76716	2235.5
	"65-74 years"	"65-74"	"2014"	"2014"	1757	79598	2207.3
	"65-74 years"	"65-74"	"2015"	"2015"	1764	82445	2139.6
	"65-74 years"	"65-74"	"2016"	"2016"	1925	85510	2251.2
