"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	234	18094	1293.2
	"< 1 year"	"1"	"2000"	"2000"	247	18123	1362.9
	"< 1 year"	"1"	"2001"	"2001"	236	19292	1223.3
	"< 1 year"	"1"	"2002"	"2002"	257	18747	1370.9
	"< 1 year"	"1"	"2003"	"2003"	279	18554	1503.7
	"< 1 year"	"1"	"2004"	"2004"	230	18644	1233.6
	"< 1 year"	"1"	"2005"	"2005"	216	18478	1169.0
	"< 1 year"	"1"	"2006"	"2006"	267	19110	1397.2
	"< 1 year"	"1"	"2007"	"2007"	253	19784	1278.8
	"< 1 year"	"1"	"2008"	"2008"	240	19911	1205.4
	"< 1 year"	"1"	"2009"	"2009"	232	19010	1220.4
	"< 1 year"	"1"	"2010"	"2010"	189	18595	1016.4
	"< 1 year"	"1"	"2011"	"2011"	178	19127	930.6
	"< 1 year"	"1"	"2012"	"2012"	190	18971	1001.5
	"< 1 year"	"1"	"2013"	"2013"	161	18786	857.0
	"< 1 year"	"1"	"2014"	"2014"	159	18508	859.1
	"< 1 year"	"1"	"2015"	"2015"	150	18463	812.4
	"< 1 year"	"1"	"2016"	"2016"	157	18245	860.5
	"1-4 years"	"1-4"	"1999"	"1999"	40	73491	54.4
	"1-4 years"	"1-4"	"2000"	"2000"	28	74009	37.8
	"1-4 years"	"1-4"	"2001"	"2001"	40	73501	54.4
	"1-4 years"	"1-4"	"2002"	"2002"	25	74914	33.4
	"1-4 years"	"1-4"	"2003"	"2003"	29	75690	38.3
	"1-4 years"	"1-4"	"2004"	"2004"	34	76026	44.7
	"1-4 years"	"1-4"	"2005"	"2005"	33	76448	43.2
	"1-4 years"	"1-4"	"2006"	"2006"	24	75995	31.6
	"1-4 years"	"1-4"	"2007"	"2007"	26	75037	34.6
	"1-4 years"	"1-4"	"2008"	"2008"	41	75206	54.5
	"1-4 years"	"1-4"	"2009"	"2009"	23	75830	30.3
	"1-4 years"	"1-4"	"2010"	"2010"	26	76289	34.1
	"1-4 years"	"1-4"	"2011"	"2011"	23	75983	30.3
	"1-4 years"	"1-4"	"2012"	"2012"	27	76237	35.4
	"1-4 years"	"1-4"	"2013"	"2013"	36	75291	47.8
	"1-4 years"	"1-4"	"2014"	"2014"	30	75128	39.9
