"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	153	15568	982.8
	"< 1 year"	"1"	"2000"	"2000"	158	15571	1014.7
	"< 1 year"	"1"	"2001"	"2001"	125	15998	781.3
	"< 1 year"	"1"	"2002"	"2002"	125	16623	752.0
	"< 1 year"	"1"	"2003"	"2003"	152	16786	905.5
	"< 1 year"	"1"	"2004"	"2004"	162	16907	958.2
	"< 1 year"	"1"	"2005"	"2005"	151	17304	872.6
	"< 1 year"	"1"	"2006"	"2006"	148	17751	833.8
	"< 1 year"	"1"	"2007"	"2007"	147	18424	797.9
	"< 1 year"	"1"	"2008"	"2008"	123	18350	670.3
	"< 1 year"	"1"	"2009"	"2009"	158	18376	859.8
	"< 1 year"	"1"	"2010"	"2010"	123	18168	677.0
	"< 1 year"	"1"	"2011"	"2011"	134	18758	714.4
	"< 1 year"	"1"	"2012"	"2012"	130	18274	711.4
	"< 1 year"	"1"	"2013"	"2013"	134	18506	724.1
	"< 1 year"	"1"	"2014"	"2014"	134	18825	711.8
	"< 1 year"	"1"	"2015"	"2015"	126	19317	652.3
	"< 1 year"	"1"	"2016"	"2016"	131	18957	691.0
	"1-4 years"	"1-4"	"1999"	"1999"	25	60213	41.5
	"1-4 years"	"1-4"	"2000"	"2000"	21	60843	34.5
	"1-4 years"	"1-4"	"2001"	"2001"	27	61297	44.0
	"1-4 years"	"1-4"	"2002"	"2002"	25	62600	39.9
	"1-4 years"	"1-4"	"2003"	"2003"	31	63907	48.5
	"1-4 years"	"1-4"	"2004"	"2004"	24	64914	37.0
	"1-4 years"	"1-4"	"2005"	"2005"	20	66347	30.1
	"1-4 years"	"1-4"	"2006"	"2006"	27	67771	39.8
	"1-4 years"	"1-4"	"2007"	"2007"	25	68956	36.3
	"1-4 years"	"1-4"	"2008"	"2008"	34	70459	48.3
	"1-4 years"	"1-4"	"2009"	"2009"	23	72290	31.8
	"1-4 years"	"1-4"	"2010"	"2010"	24	73447	32.7
	"1-4 years"	"1-4"	"2011"	"2011"	40	74269	53.9
	"1-4 years"	"1-4"	"2012"	"2012"	28	74347	37.7
	"1-4 years"	"1-4"	"2013"	"2013"	27	75689	35.7
	"1-4 years"	"1-4"	"2014"	"2014"	23	76218	30.2
	"1-4 years"	"1-4"	"2015"	"2015"	30	77267	38.8
	"1-4 years"	"1-4"	"2016"	"2016"	30	77570	38.7
	"5-14 years"	"5-14"	"1999"	"1999"	32	155950	20.5
	"5-14 years"	"5-14"	"2000"	"2000"	33	155153	21.3
	"5-14 years"	"5-14"	"2001"	"2001"	39	154460	25.2
	"5-14 years"	"5-14"	"2002"	"2002"	20	155021	12.9
	"5-14 years"	"5-14"	"2003"	"2003"	30	155705	19.3
