"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	129	13311	969.1
	"< 1 year"	"1"	"2000"	"2000"	118	13432	878.5
	"< 1 year"	"1"	"2001"	"2001"	139	14198	979.0
	"< 1 year"	"1"	"2002"	"2002"	138	13909	992.2
	"< 1 year"	"1"	"2003"	"2003"	117	14076	831.2
	"< 1 year"	"1"	"2004"	"2004"	140	14462	968.1
	"< 1 year"	"1"	"2005"	"2005"	141	14663	961.6
	"< 1 year"	"1"	"2006"	"2006"	107	14873	719.4
	"< 1 year"	"1"	"2007"	"2007"	125	15181	823.4
	"< 1 year"	"1"	"2008"	"2008"	136	15175	896.2
	"< 1 year"	"1"	"2009"	"2009"	120	14735	814.4
	"< 1 year"	"1"	"2010"	"2010"	119	14671	811.1
	"< 1 year"	"1"	"2011"	"2011"	100	14758	677.6
	"< 1 year"	"1"	"2012"	"2012"	115	14549	790.4
	"< 1 year"	"1"	"2013"	"2013"	106	14665	722.8
	"< 1 year"	"1"	"2014"	"2014"	108	14846	727.5
	"< 1 year"	"1"	"2015"	"2015"	126	14951	842.8
	"< 1 year"	"1"	"2016"	"2016"	118	14921	790.8
	"1-4 years"	"1-4"	"1999"	"1999"	21	54739	38.4
	"1-4 years"	"1-4"	"2000"	"2000"	23	54990	41.8
	"1-4 years"	"1-4"	"2001"	"2001"	10	55270	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	15	56145	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	16	56626	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	17	57866	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	18	59115	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	16	59718	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	20	60082	33.3
	"1-4 years"	"1-4"	"2008"	"2008"	18	60559	Unreliable
	"1-4 years"	"1-4"	"2009"	"2009"	18	60584	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	16	60284	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	15	60125	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	16	59816	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	10	59088	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	17	59452	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	13	59642	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	15	60440	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	28	151449	18.5
	"5-14 years"	"5-14"	"2000"	"2000"	21	152639	13.8
	"5-14 years"	"5-14"	"2001"	"2001"	21	152673	13.8
	"5-14 years"	"5-14"	"2002"	"2002"	22	153604	14.3
	"5-14 years"	"5-14"	"2003"	"2003"	26	153738	16.9
	"5-14 years"	"5-14"	"2004"	"2004"	19	154399	Unreliable
	"5-14 years"	"5-14"	"2005"	"2005"	40	154313	25.9
	"5-14 years"	"5-14"	"2006"	"2006"	23	155479	14.8
	"5-14 years"	"5-14"	"2007"	"2007"	31	156159	19.9
	"5-14 years"	"5-14"	"2008"	"2008"	11	156229	Unreliable
	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	156504	Suppressed
	"5-14 years"	"5-14"	"2010"	"2010"	13	156808	Unreliable
	"5-14 years"	"5-14"	"2011"	"2011"	21	157126	13.4
	"5-14 years"	"5-14"	"2012"	"2012"	19	157864	Unreliable
	"5-14 years"	"5-14"	"2013"	"2013"	21	157726	13.3
	"5-14 years"	"5-14"	"2014"	"2014"	14	157838	Unreliable
	"5-14 years"	"5-14"	"2015"	"2015"	19	157413	Unreliable
	"5-14 years"	"5-14"	"2016"	"2016"	13	156761	Unreliable
	"15-24 years"	"15-24"	"1999"	"1999"	131	134957	97.1
	"15-24 years"	"15-24"	"2000"	"2000"	152	137209	110.8
	"15-24 years"	"15-24"	"2001"	"2001"	150	142846	105.0
	"15-24 years"	"15-24"	"2002"	"2002"	134	146623	91.4
	"15-24 years"	"15-24"	"2003"	"2003"	173	151420	114.3
	"15-24 years"	"15-24"	"2004"	"2004"	145	155487	93.3
	"15-24 years"	"15-24"	"2005"	"2005"	143	159900	89.4
	"15-24 years"	"15-24"	"2006"	"2006"	140	164088	85.3
	"15-24 years"	"15-24"	"2007"	"2007"	134	167235	80.1
	"15-24 years"	"15-24"	"2008"	"2008"	149	169100	88.1
