"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	142	19323	734.9
	"< 1 year"	"1"	"2000"	"2000"	141	19479	723.9
	"< 1 year"	"1"	"2001"	"2001"	139	20632	673.7
	"< 1 year"	"1"	"2002"	"2002"	174	20228	860.2
	"< 1 year"	"1"	"2003"	"2003"	134	20385	657.3
	"< 1 year"	"1"	"2004"	"2004"	132	20951	630.0
	"< 1 year"	"1"	"2005"	"2005"	159	21062	754.9
	"< 1 year"	"1"	"2006"	"2006"	179	22203	806.2
	"< 1 year"	"1"	"2007"	"2007"	153	23194	659.7
	"< 1 year"	"1"	"2008"	"2008"	157	23469	669.0
	"< 1 year"	"1"	"2009"	"2009"	149	22422	664.5
	"< 1 year"	"1"	"2010"	"2010"	162	22352	724.8
	"< 1 year"	"1"	"2011"	"2011"	130	22476	578.4
	"< 1 year"	"1"	"2012"	"2012"	131	22344	586.3
	"< 1 year"	"1"	"2013"	"2013"	142	22736	624.6
	"< 1 year"	"1"	"2014"	"2014"	146	22870	638.4
	"< 1 year"	"1"	"2015"	"2015"	152	23985	633.7
	"< 1 year"	"1"	"2016"	"2016"	157	24645	637.0
	"1-4 years"	"1-4"	"1999"	"1999"	30	74148	40.5
	"1-4 years"	"1-4"	"2000"	"2000"	29	75410	38.5
	"1-4 years"	"1-4"	"2001"	"2001"	21	76915	27.3
	"1-4 years"	"1-4"	"2002"	"2002"	28	79115	35.4
	"1-4 years"	"1-4"	"2003"	"2003"	23	81360	28.3
	"1-4 years"	"1-4"	"2004"	"2004"	27	83097	32.5
	"1-4 years"	"1-4"	"2005"	"2005"	22	84570	26.0
	"1-4 years"	"1-4"	"2006"	"2006"	31	86132	36.0
	"1-4 years"	"1-4"	"2007"	"2007"	22	88084	25.0
	"1-4 years"	"1-4"	"2008"	"2008"	33	90863	36.3
	"1-4 years"	"1-4"	"2009"	"2009"	17	92647	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	30	93300	32.2
	"1-4 years"	"1-4"	"2011"	"2011"	25	92703	27.0
	"1-4 years"	"1-4"	"2012"	"2012"	29	92731	31.3
	"1-4 years"	"1-4"	"2013"	"2013"	16	91862	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	14	92381	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	23	93586	24.6
	"1-4 years"	"1-4"	"2016"	"2016"	26	96756	26.9
	"5-14 years"	"5-14"	"1999"	"1999"	48	189883	25.3
	"5-14 years"	"5-14"	"2000"	"2000"	50	192853	25.9
	"5-14 years"	"5-14"	"2001"	"2001"	32	195113	16.4
	"5-14 years"	"5-14"	"2002"	"2002"	36	196992	18.3
	"5-14 years"	"5-14"	"2003"	"2003"	30	199322	15.1
	"5-14 years"	"5-14"	"2004"	"2004"	33	201807	16.4
	"5-14 years"	"5-14"	"2005"	"2005"	37	204968	18.1
