"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	289	28084	1029.1
	"< 1 year"	"1"	"2000"	"2000"	228	28196	808.6
	"< 1 year"	"1"	"2001"	"2001"	243	28839	842.6
	"< 1 year"	"1"	"2002"	"2002"	215	27486	782.2
	"< 1 year"	"1"	"2003"	"2003"	229	27864	821.8
	"< 1 year"	"1"	"2004"	"2004"	259	28245	917.0
	"< 1 year"	"1"	"2005"	"2005"	304	27816	1092.9
	"< 1 year"	"1"	"2006"	"2006"	276	28114	981.7
	"< 1 year"	"1"	"2007"	"2007"	245	28869	848.7
	"< 1 year"	"1"	"2008"	"2008"	242	28461	850.3
	"< 1 year"	"1"	"2009"	"2009"	264	27969	943.9
	"< 1 year"	"1"	"2010"	"2010"	219	27559	794.7
	"< 1 year"	"1"	"2011"	"2011"	242	28148	859.7
	"< 1 year"	"1"	"2012"	"2012"	206	27216	756.9
	"< 1 year"	"1"	"2013"	"2013"	218	27194	801.6
	"< 1 year"	"1"	"2014"	"2014"	205	27330	750.1
	"< 1 year"	"1"	"2015"	"2015"	210	26872	781.5
	"< 1 year"	"1"	"2016"	"2016"	205	27095	756.6
	"1-4 years"	"1-4"	"1999"	"1999"	27	112608	24.0
	"1-4 years"	"1-4"	"2000"	"2000"	34	112315	30.3
	"1-4 years"	"1-4"	"2001"	"2001"	26	111979	23.2
	"1-4 years"	"1-4"	"2002"	"2002"	34	113153	30.0
	"1-4 years"	"1-4"	"2003"	"2003"	41	112974	36.3
	"1-4 years"	"1-4"	"2004"	"2004"	42	113193	37.1
	"1-4 years"	"1-4"	"2005"	"2005"	29	113288	25.6
	"1-4 years"	"1-4"	"2006"	"2006"	34	112715	30.2
	"1-4 years"	"1-4"	"2007"	"2007"	29	113513	25.5
	"1-4 years"	"1-4"	"2008"	"2008"	33	114698	28.8
	"1-4 years"	"1-4"	"2009"	"2009"	32	115052	27.8
	"1-4 years"	"1-4"	"2010"	"2010"	34	115707	29.4
	"1-4 years"	"1-4"	"2011"	"2011"	29	113913	25.5
	"1-4 years"	"1-4"	"2012"	"2012"	21	112150	18.7
	"1-4 years"	"1-4"	"2013"	"2013"	28	110954	25.2
	"1-4 years"	"1-4"	"2014"	"2014"	27	110640	24.4
	"1-4 years"	"1-4"	"2015"	"2015"	16	109767	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	36	110239	32.7
	"5-14 years"	"5-14"	"1999"	"1999"	50	298499	16.8
	"5-14 years"	"5-14"	"2000"	"2000"	52	299741	17.3
	"5-14 years"	"5-14"	"2001"	"2001"	50	299694	16.7
	"5-14 years"	"5-14"	"2002"	"2002"	45	298329	15.1
	"5-14 years"	"5-14"	"2003"	"2003"	36	297427	12.1
	"5-14 years"	"5-14"	"2004"	"2004"	33	295916	11.2
	"5-14 years"	"5-14"	"2005"	"2005"	39	294716	13.2
	"5-14 years"	"5-14"	"2006"	"2006"	41	294455	13.9
	"5-14 years"	"5-14"	"2007"	"2007"	44	293895	15.0
	"5-14 years"	"5-14"	"2008"	"2008"	36	293011	12.3
	"5-14 years"	"5-14"	"2009"	"2009"	37	294306	12.6
	"5-14 years"	"5-14"	"2010"	"2010"	33	294424	11.2
	"5-14 years"	"5-14"	"2011"	"2011"	29	293210	9.9
	"5-14 years"	"5-14"	"2012"	"2012"	32	293917	10.9
	"5-14 years"	"5-14"	"2013"	"2013"	42	293740	14.3
	"5-14 years"	"5-14"	"2014"	"2014"	46	292823	15.7
	"5-14 years"	"5-14"	"2015"	"2015"	52	290917	17.9
	"5-14 years"	"5-14"	"2016"	"2016"	35	288408	12.1
	"15-24 years"	"15-24"	"1999"	"1999"	169	275889	61.3
	"15-24 years"	"15-24"	"2000"	"2000"	164	276979	59.2
	"15-24 years"	"15-24"	"2001"	"2001"	206	283637	72.6
	"15-24 years"	"15-24"	"2002"	"2002"	218	285790	76.3
	"15-24 years"	"15-24"	"2003"	"2003"	230	287165	80.1
	"15-24 years"	"15-24"	"2004"	"2004"	243	286923	84.7
	"15-24 years"	"15-24"	"2005"	"2005"	216	286931	75.3
	"15-24 years"	"15-24"	"2006"	"2006"	246	288702	85.2
	"15-24 years"	"15-24"	"2007"	"2007"	217	289403	75.0
	"15-24 years"	"15-24"	"2008"	"2008"	205	290458	70.6
	"15-24 years"	"15-24"	"2009"	"2009"	186	291942	63.7
	"15-24 years"	"15-24"	"2010"	"2010"	187	291084	64.2
	"15-24 years"	"15-24"	"2011"	"2011"	217	288725	75.2
	"15-24 years"	"15-24"	"2012"	"2012"	201	287714	69.9
	"15-24 years"	"15-24"	"2013"	"2013"	207	290564	71.2
	"15-24 years"	"15-24"	"2014"	"2014"	216	291453	74.1
	"15-24 years"	"15-24"	"2015"	"2015"	236	291152	81.1
	"15-24 years"	"15-24"	"2016"	"2016"	217	290571	74.7
	"25-34 years"	"25-34"	"1999"	"1999"	268	283057	94.7
	"25-34 years"	"25-34"	"2000"	"2000"	265	280658	94.4
	"25-34 years"	"25-34"	"2001"	"2001"	255	274799	92.8
	"25-34 years"	"25-34"	"2002"	"2002"	276	271725	101.6
	"25-34 years"	"25-34"	"2003"	"2003"	266	270416	98.4
	"25-34 years"	"25-34"	"2004"	"2004"	306	271020	112.9
	"25-34 years"	"25-34"	"2005"	"2005"	280	271088	103.3
	"25-34 years"	"25-34"	"2006"	"2006"	293	269706	108.6
	"25-34 years"	"25-34"	"2007"	"2007"	304	270126	112.5
	"25-34 years"	"25-34"	"2008"	"2008"	311	270873	114.8
	"25-34 years"	"25-34"	"2009"	"2009"	323	272449	118.6
	"25-34 years"	"25-34"	"2010"	"2010"	328	272711	120.3
	"25-34 years"	"25-34"	"2011"	"2011"	365	276773	131.9
	"25-34 years"	"25-34"	"2012"	"2012"	350	279015	125.4
	"25-34 years"	"25-34"	"2013"	"2013"	380	279601	135.9
	"25-34 years"	"25-34"	"2014"	"2014"	438	282664	155.0
	"25-34 years"	"25-34"	"2015"	"2015"	549	284868	192.7
	"25-34 years"	"25-34"	"2016"	"2016"	540	288665	187.1
	"35-44 years"	"35-44"	"1999"	"1999"	626	329775	189.8
	"35-44 years"	"35-44"	"2000"	"2000"	588	330419	178.0
	"35-44 years"	"35-44"	"2001"	"2001"	622	328001	189.6
	"35-44 years"	"35-44"	"2002"	"2002"	614	322853	190.2
	"35-44 years"	"35-44"	"2003"	"2003"	636	317768	200.1
	"35-44 years"	"35-44"	"2004"	"2004"	596	313452	190.1
	"35-44 years"	"35-44"	"2005"	"2005"	668	309512	215.8
	"35-44 years"	"35-44"	"2006"	"2006"	519	306060	169.6
