"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	219	24476	894.8
	"< 1 year"	"1"	"2000"	"2000"	215	24823	866.1
	"< 1 year"	"1"	"2001"	"2001"	187	25898	722.1
	"< 1 year"	"1"	"2002"	"2002"	210	25544	822.1
	"< 1 year"	"1"	"2003"	"2003"	211	25586	824.7
	"< 1 year"	"1"	"2004"	"2004"	225	26242	857.4
	"< 1 year"	"1"	"2005"	"2005"	205	25603	800.7
	"< 1 year"	"1"	"2006"	"2006"	216	26289	821.6
	"< 1 year"	"1"	"2007"	"2007"	219	26889	814.5
	"< 1 year"	"1"	"2008"	"2008"	196	26844	730.1
	"< 1 year"	"1"	"2009"	"2009"	261	26461	986.4
	"< 1 year"	"1"	"2010"	"2010"	211	26274	803.1
	"< 1 year"	"1"	"2011"	"2011"	226	27110	833.6
	"< 1 year"	"1"	"2012"	"2012"	154	26819	574.2
	"< 1 year"	"1"	"2013"	"2013"	196	26890	728.9
	"< 1 year"	"1"	"2014"	"2014"	169	26482	638.2
	"< 1 year"	"1"	"2015"	"2015"	197	26729	737.0
	"< 1 year"	"1"	"2016"	"2016"	194	26700	726.6
	"1-4 years"	"1-4"	"1999"	"1999"	37	96739	38.2
	"1-4 years"	"1-4"	"2000"	"2000"	34	97934	34.7
	"1-4 years"	"1-4"	"2001"	"2001"	40	99177	40.3
	"1-4 years"	"1-4"	"2002"	"2002"	35	101442	34.5
	"1-4 years"	"1-4"	"2003"	"2003"	39	102803	37.9
	"1-4 years"	"1-4"	"2004"	"2004"	30	103853	28.9
	"1-4 years"	"1-4"	"2005"	"2005"	29	104959	27.6
	"1-4 years"	"1-4"	"2006"	"2006"	35	105008	33.3
	"1-4 years"	"1-4"	"2007"	"2007"	33	106078	31.1
	"1-4 years"	"1-4"	"2008"	"2008"	44	107244	41.0
	"1-4 years"	"1-4"	"2009"	"2009"	25	108635	23.0
	"1-4 years"	"1-4"	"2010"	"2010"	30	109507	27.4
	"1-4 years"	"1-4"	"2011"	"2011"	24	108952	22.0
	"1-4 years"	"1-4"	"2012"	"2012"	31	108894	28.5
	"1-4 years"	"1-4"	"2013"	"2013"	27	108314	24.9
	"1-4 years"	"1-4"	"2014"	"2014"	25	107798	23.2
	"1-4 years"	"1-4"	"2015"	"2015"	20	107863	18.5
	"1-4 years"	"1-4"	"2016"	"2016"	24	108959	22.0
	"5-14 years"	"5-14"	"1999"	"1999"	47	242689	19.4
	"5-14 years"	"5-14"	"2000"	"2000"	52	246873	21.1
