"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	83	8647	959.9
	"< 1 year"	"1"	"2000"	"2000"	71	8691	816.9
	"< 1 year"	"1"	"2001"	"2001"	81	9067	893.3
	"< 1 year"	"1"	"2002"	"2002"	84	8771	957.7
	"< 1 year"	"1"	"2003"	"2003"	68	8718	780.0
	"< 1 year"	"1"	"2004"	"2004"	70	8570	816.8
	"< 1 year"	"1"	"2005"	"2005"	78	8618	905.1
	"< 1 year"	"1"	"2006"	"2006"	93	8667	1073.0
	"< 1 year"	"1"	"2007"	"2007"	90	8931	1007.7
	"< 1 year"	"1"	"2008"	"2008"	84	9129	920.1
	"< 1 year"	"1"	"2009"	"2009"	88	8816	998.2
	"< 1 year"	"1"	"2010"	"2010"	73	8601	848.7
	"< 1 year"	"1"	"2011"	"2011"	62	8606	720.4
	"< 1 year"	"1"	"2012"	"2012"	74	8463	874.4
	"< 1 year"	"1"	"2013"	"2013"	75	8515	880.8
	"< 1 year"	"1"	"2014"	"2014"	60	8720	688.1
	"< 1 year"	"1"	"2015"	"2015"	67	8716	768.7
	"< 1 year"	"1"	"2016"	"2016"	79	8541	925.0
	"1-4 years"	"1-4"	"1999"	"1999"	Suppressed	32790	Suppressed
	"1-4 years"	"1-4"	"2000"	"2000"	11	33500	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	10	33987	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	10	34567	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	10	35071	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	Suppressed	35180	Suppressed
	"1-4 years"	"1-4"	"2005"	"2005"	Suppressed	35236	Suppressed
	"1-4 years"	"1-4"	"2006"	"2006"	Suppressed	35332	Suppressed
	"1-4 years"	"1-4"	"2007"	"2007"	13	35713	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	35804	Suppressed
	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	36324	Suppressed
	"1-4 years"	"1-4"	"2010"	"2010"	13	36239	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	36297	Suppressed
	"1-4 years"	"1-4"	"2012"	"2012"	10	35911	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	12	35478	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	35353	Suppressed
	"1-4 years"	"1-4"	"2015"	"2015"	17	35398	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	11	35330	Unreliable
