"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	76	11198	678.7
	"< 1 year"	"1"	"2000"	"2000"	91	11317	804.1
	"< 1 year"	"1"	"2001"	"2001"	80	12196	656.0
	"< 1 year"	"1"	"2002"	"2002"	97	12238	792.6
	"< 1 year"	"1"	"2003"	"2003"	80	12627	633.6
	"< 1 year"	"1"	"2004"	"2004"	85	12669	670.9
	"< 1 year"	"1"	"2005"	"2005"	75	12653	592.7
	"< 1 year"	"1"	"2006"	"2006"	80	13050	613.0
	"< 1 year"	"1"	"2007"	"2007"	98	13247	739.8
	"< 1 year"	"1"	"2008"	"2008"	66	13320	495.5
	"< 1 year"	"1"	"2009"	"2009"	67	13177	508.5
	"< 1 year"	"1"	"2010"	"2010"	69	13167	524.0
	"< 1 year"	"1"	"2011"	"2011"	67	13250	505.7
	"< 1 year"	"1"	"2012"	"2012"	61	13332	457.5
	"< 1 year"	"1"	"2013"	"2013"	82	13113	625.3
	"< 1 year"	"1"	"2014"	"2014"	73	13215	552.4
	"< 1 year"	"1"	"2015"	"2015"	80	13322	600.5
	"< 1 year"	"1"	"2016"	"2016"	93	13556	686.0
	"1-4 years"	"1-4"	"1999"	"1999"	13	44664	Unreliable
	"1-4 years"	"1-4"	"2000"	"2000"	16	44915	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	11	44962	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	14	46050	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	17	47102	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	17	48693	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	Suppressed	49708	Suppressed
	"1-4 years"	"1-4"	"2006"	"2006"	14	50174	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	13	50743	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	19	51424	Unreliable
	"1-4 years"	"1-4"	"2009"	"2009"	15	52066	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	12	52673	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	13	52844	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	16	53442	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	10	52813	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	14	53006	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	14	53162	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	13	54049	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	19	117139	Unreliable
	"5-14 years"	"5-14"	"2000"	"2000"	20	117198	17.1
	"5-14 years"	"5-14"	"2001"	"2001"	20	117287	17.1
	"5-14 years"	"5-14"	"2002"	"2002"	18	117283	Unreliable
	"5-14 years"	"5-14"	"2003"	"2003"	13	117303	Unreliable
	"5-14 years"	"5-14"	"2004"	"2004"	19	117907	Unreliable
	"5-14 years"	"5-14"	"2005"	"2005"	20	118002	16.9
	"5-14 years"	"5-14"	"2006"	"2006"	11	118885	Unreliable
	"5-14 years"	"5-14"	"2007"	"2007"	19	119612	Unreliable
	"5-14 years"	"5-14"	"2008"	"2008"	21	121673	17.3
	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	123342	Suppressed
	"5-14 years"	"5-14"	"2010"	"2010"	25	124900	20.0
	"5-14 years"	"5-14"	"2011"	"2011"	14	126697	Unreliable
	"5-14 years"	"5-14"	"2012"	"2012"	20	128289	15.6
	"5-14 years"	"5-14"	"2013"	"2013"	14	129618	Unreliable
	"5-14 years"	"5-14"	"2014"	"2014"	16	130851	Unreliable
