"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	148	15675	944.2
	"< 1 year"	"1"	"2000"	"2000"	147	15605	942.0
	"< 1 year"	"1"	"2001"	"2001"	166	16175	1026.3
	"< 1 year"	"1"	"2002"	"2002"	144	15971	901.6
	"< 1 year"	"1"	"2003"	"2003"	167	16141	1034.6
	"< 1 year"	"1"	"2004"	"2004"	167	16617	1005.0
	"< 1 year"	"1"	"2005"	"2005"	191	16962	1126.0
	"< 1 year"	"1"	"2006"	"2006"	158	17609	897.3
	"< 1 year"	"1"	"2007"	"2007"	155	17685	876.4
	"< 1 year"	"1"	"2008"	"2008"	166	17361	956.2
	"< 1 year"	"1"	"2009"	"2009"	146	17121	852.8
	"< 1 year"	"1"	"2010"	"2010"	131	16972	771.9
	"< 1 year"	"1"	"2011"	"2011"	116	17531	661.7
	"< 1 year"	"1"	"2012"	"2012"	128	17305	739.7
	"< 1 year"	"1"	"2013"	"2013"	142	17384	816.8
	"< 1 year"	"1"	"2014"	"2014"	143	17598	812.6
	"< 1 year"	"1"	"2015"	"2015"	132	18014	732.8
	"< 1 year"	"1"	"2016"	"2016"	139	18240	762.1
	"1-4 years"	"1-4"	"1999"	"1999"	36	61638	58.4
	"1-4 years"	"1-4"	"2000"	"2000"	22	61603	35.7
	"1-4 years"	"1-4"	"2001"	"2001"	25	62431	40.0
	"1-4 years"	"1-4"	"2002"	"2002"	25	64097	39.0
	"1-4 years"	"1-4"	"2003"	"2003"	23	65815	34.9
	"1-4 years"	"1-4"	"2004"	"2004"	25	66918	37.4
	"1-4 years"	"1-4"	"2005"	"2005"	18	67672	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	19	68350	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	10	69598	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	18	70005	Unreliable
	"1-4 years"	"1-4"	"2009"	"2009"	25	70411	35.5
	"1-4 years"	"1-4"	"2010"	"2010"	22	70420	31.2
	"1-4 years"	"1-4"	"2011"	"2011"	14	69858	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	21	69632	30.2
	"1-4 years"	"1-4"	"2013"	"2013"	14	69430	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	25	70053	35.7
	"1-4 years"	"1-4"	"2015"	"2015"	23	70958	32.4
	"1-4 years"	"1-4"	"2016"	"2016"	17	73841	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	34	167285	20.3
	"5-14 years"	"5-14"	"2000"	"2000"	44	167515	26.3
	"5-14 years"	"5-14"	"2001"	"2001"	40	168508	23.7
	"5-14 years"	"5-14"	"2002"	"2002"	28	169785	16.5
	"5-14 years"	"5-14"	"2003"	"2003"	26	170524	15.2
	"5-14 years"	"5-14"	"2004"	"2004"	34	172257	19.7
	"5-14 years"	"5-14"	"2005"	"2005"	37	172993	21.4
	"5-14 years"	"5-14"	"2006"	"2006"	45	175670	25.6
	"5-14 years"	"5-14"	"2007"	"2007"	33	176895	18.7
	"5-14 years"	"5-14"	"2008"	"2008"	20	176821	11.3
	"5-14 years"	"5-14"	"2009"	"2009"	20	176724	11.3
	"5-14 years"	"5-14"	"2010"	"2010"	20	177726	11.3
	"5-14 years"	"5-14"	"2011"	"2011"	24	177711	13.5
	"5-14 years"	"5-14"	"2012"	"2012"	17	178419	Unreliable
	"5-14 years"	"5-14"	"2013"	"2013"	26	179419	14.5
	"5-14 years"	"5-14"	"2014"	"2014"	28	181116	15.5
	"5-14 years"	"5-14"	"2015"	"2015"	31	183275	16.9
	"5-14 years"	"5-14"	"2016"	"2016"	26	184928	14.1
	"15-24 years"	"15-24"	"1999"	"1999"	128	146327	87.5
	"15-24 years"	"15-24"	"2000"	"2000"	151	149525	101.0
	"15-24 years"	"15-24"	"2001"	"2001"	152	156289	97.3
	"15-24 years"	"15-24"	"2002"	"2002"	167	161560	103.4
