"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	109	14910	731.1
	"< 1 year"	"1"	"2000"	"2000"	108	15052	717.5
	"< 1 year"	"1"	"2001"	"2001"	77	15487	497.2
	"< 1 year"	"1"	"2002"	"2002"	105	15202	690.7
	"< 1 year"	"1"	"2003"	"2003"	94	15244	616.6
	"< 1 year"	"1"	"2004"	"2004"	95	15339	619.3
	"< 1 year"	"1"	"2005"	"2005"	103	15169	679.0
	"< 1 year"	"1"	"2006"	"2006"	115	15482	742.8
	"< 1 year"	"1"	"2007"	"2007"	85	16131	526.9
	"< 1 year"	"1"	"2008"	"2008"	98	16197	605.1
	"< 1 year"	"1"	"2009"	"2009"	98	15742	622.5
	"< 1 year"	"1"	"2010"	"2010"	99	15592	634.9
	"< 1 year"	"1"	"2011"	"2011"	101	15905	635.0
	"< 1 year"	"1"	"2012"	"2012"	126	15698	802.7
	"< 1 year"	"1"	"2013"	"2013"	85	15693	541.6
	"< 1 year"	"1"	"2014"	"2014"	104	15636	665.1
	"< 1 year"	"1"	"2015"	"2015"	99	15996	618.9
	"< 1 year"	"1"	"2016"	"2016"	109	15765	691.4
	"1-4 years"	"1-4"	"1999"	"1999"	20	60392	33.1
	"1-4 years"	"1-4"	"2000"	"2000"	23	60574	38.0
	"1-4 years"	"1-4"	"2001"	"2001"	21	60671	34.6
	"1-4 years"	"1-4"	"2002"	"2002"	16	60931	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	14	61517	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	20	61485	32.5
	"1-4 years"	"1-4"	"2005"	"2005"	18	61279	Unreliable
	"1-4 years"	"1-4"	"2006"	"2006"	20	61376	32.6
	"1-4 years"	"1-4"	"2007"	"2007"	13	61804	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	21	62777	33.5
	"1-4 years"	"1-4"	"2009"	"2009"	19	63393	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	15	63879	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	23	63612	36.2
	"1-4 years"	"1-4"	"2012"	"2012"	17	63475	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	17	62867	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	19	62781	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	17	63162	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	25	63172	39.6
	"5-14 years"	"5-14"	"1999"	"1999"	22	156332	14.1
	"5-14 years"	"5-14"	"2000"	"2000"	32	157097	20.4
	"5-14 years"	"5-14"	"2001"	"2001"	19	157887	Unreliable
	"5-14 years"	"5-14"	"2002"	"2002"	23	158828	14.5
	"5-14 years"	"5-14"	"2003"	"2003"	25	160034	15.6
	"5-14 years"	"5-14"	"2004"	"2004"	18	160312	Unreliable
	"5-14 years"	"5-14"	"2005"	"2005"	16	160676	Unreliable
	"5-14 years"	"5-14"	"2006"	"2006"	28	162059	17.3
	"5-14 years"	"5-14"	"2007"	"2007"	14	162279	Unreliable
	"5-14 years"	"5-14"	"2008"	"2008"	26	164072	15.8
	"5-14 years"	"5-14"	"2009"	"2009"	28	164215	17.1
	"5-14 years"	"5-14"	"2010"	"2010"	27	164793	16.4
	"5-14 years"	"5-14"	"2011"	"2011"	24	164184	14.6
	"5-14 years"	"5-14"	"2012"	"2012"	23	164080	14.0
	"5-14 years"	"5-14"	"2013"	"2013"	25	164617	15.2
	"5-14 years"	"5-14"	"2014"	"2014"	24	163603	14.7
	"5-14 years"	"5-14"	"2015"	"2015"	20	162619	12.3
	"5-14 years"	"5-14"	"2016"	"2016"	26	162380	16.0
	"15-24 years"	"15-24"	"1999"	"1999"	119	144186	82.5
	"15-24 years"	"15-24"	"2000"	"2000"	129	144102	89.5
	"15-24 years"	"15-24"	"2001"	"2001"	117	146527	79.8
	"15-24 years"	"15-24"	"2002"	"2002"	124	147495	84.1
	"15-24 years"	"15-24"	"2003"	"2003"	140	148415	94.3
	"15-24 years"	"15-24"	"2004"	"2004"	165	149859	110.1
	"15-24 years"	"15-24"	"2005"	"2005"	131	150819	86.9
	"15-24 years"	"15-24"	"2006"	"2006"	119	150818	78.9
	"15-24 years"	"15-24"	"2007"	"2007"	129	153514	84.0
	"15-24 years"	"15-24"	"2008"	"2008"	123	154467	79.6
	"15-24 years"	"15-24"	"2009"	"2009"	127	156116	81.3
	"15-24 years"	"15-24"	"2010"	"2010"	132	157018	84.1
	"15-24 years"	"15-24"	"2011"	"2011"	149	157028	94.9
	"15-24 years"	"15-24"	"2012"	"2012"	165	158120	104.4
	"15-24 years"	"15-24"	"2013"	"2013"	133	159284	83.5
	"15-24 years"	"15-24"	"2014"	"2014"	129	159873	80.7
	"15-24 years"	"15-24"	"2015"	"2015"	143	159120	89.9
	"15-24 years"	"15-24"	"2016"	"2016"	176	157871	111.5
	"25-34 years"	"25-34"	"1999"	"1999"	167	157819	105.8
	"25-34 years"	"25-34"	"2000"	"2000"	212	157131	134.9
	"25-34 years"	"25-34"	"2001"	"2001"	158	155378	101.7
	"25-34 years"	"25-34"	"2002"	"2002"	172	155331	110.7
	"25-34 years"	"25-34"	"2003"	"2003"	216	156048	138.4
	"25-34 years"	"25-34"	"2004"	"2004"	185	157350	117.6
	"25-34 years"	"25-34"	"2005"	"2005"	197	157905	124.8
	"25-34 years"	"25-34"	"2006"	"2006"	208	158665	131.1
	"25-34 years"	"25-34"	"2007"	"2007"	204	160830	126.8
	"25-34 years"	"25-34"	"2008"	"2008"	218	162039	134.5
	"25-34 years"	"25-34"	"2009"	"2009"	164	164262	99.8
	"25-34 years"	"25-34"	"2010"	"2010"	224	164897	135.8
	"25-34 years"	"25-34"	"2011"	"2011"	239	167116	143.0
	"25-34 years"	"25-34"	"2012"	"2012"	252	167579	150.4
	"25-34 years"	"25-34"	"2013"	"2013"	272	169221	160.7
	"25-34 years"	"25-34"	"2014"	"2014"	251	170950	146.8
	"25-34 years"	"25-34"	"2015"	"2015"	306	173380	176.5
	"25-34 years"	"25-34"	"2016"	"2016"	352	175997	200.0
	"35-44 years"	"35-44"	"1999"	"1999"	375	186612	201.0
	"35-44 years"	"35-44"	"2000"	"2000"	414	186915	221.5
	"35-44 years"	"35-44"	"2001"	"2001"	403	185226	217.6
	"35-44 years"	"35-44"	"2002"	"2002"	415	182240	227.7
	"35-44 years"	"35-44"	"2003"	"2003"	409	179453	227.9
	"35-44 years"	"35-44"	"2004"	"2004"	380	177417	214.2
	"35-44 years"	"35-44"	"2005"	"2005"	366	175431	208.6
	"35-44 years"	"35-44"	"2006"	"2006"	410	175383	233.8
	"35-44 years"	"35-44"	"2007"	"2007"	372	174443	213.3
	"35-44 years"	"35-44"	"2008"	"2008"	346	172134	201.0
	"35-44 years"	"35-44"	"2009"	"2009"	386	168816	228.7
	"35-44 years"	"35-44"	"2010"	"2010"	346	166460	207.9
	"35-44 years"	"35-44"	"2011"	"2011"	373	164780	226.4
	"35-44 years"	"35-44"	"2012"	"2012"	410	164544	249.2
	"35-44 years"	"35-44"	"2013"	"2013"	352	165437	212.8
	"35-44 years"	"35-44"	"2014"	"2014"	421	165468	254.4
	"35-44 years"	"35-44"	"2015"	"2015"	403	165596	243.4
	"35-44 years"	"35-44"	"2016"	"2016"	501	163800	305.9
	"45-54 years"	"45-54"	"1999"	"1999"	723	155472	465.0
	"45-54 years"	"45-54"	"2000"	"2000"	749	160411	466.9
	"45-54 years"	"45-54"	"2001"	"2001"	834	168023	496.4
	"45-54 years"	"45-54"	"2002"	"2002"	825	170068	485.1
	"45-54 years"	"45-54"	"2003"	"2003"	857	173815	493.1
	"45-54 years"	"45-54"	"2004"	"2004"	848	176397	480.7
	"45-54 years"	"45-54"	"2005"	"2005"	851	179764	473.4
	"45-54 years"	"45-54"	"2006"	"2006"	896	183424	488.5
	"45-54 years"	"45-54"	"2007"	"2007"	929	185305	501.3
	"45-54 years"	"45-54"	"2008"	"2008"	929	188059	494.0
	"45-54 years"	"45-54"	"2009"	"2009"	958	189520	505.5
	"45-54 years"	"45-54"	"2010"	"2010"	952	189659	502.0
	"45-54 years"	"45-54"	"2011"	"2011"	915	187972	486.8
	"45-54 years"	"45-54"	"2012"	"2012"	1012	184535	548.4
	"45-54 years"	"45-54"	"2013"	"2013"	897	182194	492.3
	"45-54 years"	"45-54"	"2014"	"2014"	954	179702	530.9
	"45-54 years"	"45-54"	"2015"	"2015"	925	177883	520.0
	"45-54 years"	"45-54"	"2016"	"2016"	974	175836	553.9
	"55-64 years"	"55-64"	"1999"	"1999"	1193	98571	1210.3
	"55-64 years"	"55-64"	"2000"	"2000"	1126	100001	1126.0
	"55-64 years"	"55-64"	"2001"	"2001"	1164	102844	1131.8
	"55-64 years"	"55-64"	"2002"	"2002"	1291	110058	1173.0
	"55-64 years"	"55-64"	"2003"	"2003"	1306	115884	1127.0
	"55-64 years"	"55-64"	"2004"	"2004"	1205	121543	991.4
	"55-64 years"	"55-64"	"2005"	"2005"	1309	127366	1027.7
	"55-64 years"	"55-64"	"2006"	"2006"	1241	133221	931.5
	"55-64 years"	"55-64"	"2007"	"2007"	1337	138892	962.6
	"55-64 years"	"55-64"	"2008"	"2008"	1440	143822	1001.2
	"55-64 years"	"55-64"	"2009"	"2009"	1525	149162	1022.4
	"55-64 years"	"55-64"	"2010"	"2010"	1559	154079	1011.8
	"55-64 years"	"55-64"	"2011"	"2011"	1586	161493	982.1
	"55-64 years"	"55-64"	"2012"	"2012"	1654	162992	1014.8
	"55-64 years"	"55-64"	"2013"	"2013"	1723	166719	1033.5
	"55-64 years"	"55-64"	"2014"	"2014"	1789	169266	1056.9
	"55-64 years"	"55-64"	"2015"	"2015"	1879	172531	1089.1
	"55-64 years"	"55-64"	"2016"	"2016"	1895	174597	1085.4
	"65-74 years"	"65-74"	"1999"	"1999"	2212	75849	2916.3
	"65-74 years"	"65-74"	"2000"	"2000"	2174	75575	2876.6
	"65-74 years"	"65-74"	"2001"	"2001"	2124	74957	2833.6
	"65-74 years"	"65-74"	"2002"	"2002"	2094	74060	2827.4
	"65-74 years"	"65-74"	"2003"	"2003"	1951	74293	2626.1
	"65-74 years"	"65-74"	"2004"	"2004"	1811	74540	2429.6
	"65-74 years"	"65-74"	"2005"	"2005"	1894	75185	2519.1
	"65-74 years"	"65-74"	"2006"	"2006"	1828	76572	2387.3
	"65-74 years"	"65-74"	"2007"	"2007"	1874	78521	2386.6
	"65-74 years"	"65-74"	"2008"	"2008"	1847	81802	2257.9
	"65-74 years"	"65-74"	"2009"	"2009"	1863	84708	2199.3
	"65-74 years"	"65-74"	"2010"	"2010"	1943	86662	2242.0
	"65-74 years"	"65-74"	"2011"	"2011"	1894	89329	2120.3
	"65-74 years"	"65-74"	"2012"	"2012"	2132	96080	2219.0
	"65-74 years"	"65-74"	"2013"	"2013"	2108	101228	2082.4
	"65-74 years"	"65-74"	"2014"	"2014"	2234	106418	2099.3
	"65-74 years"	"65-74"	"2015"	"2015"	2418	111117	2176.1
	"65-74 years"	"65-74"	"2016"	"2016"	2584	115737	2232.6
	"75-84 years"	"75-84"	"1999"	"1999"	3108	47925	6485.1
	"75-84 years"	"75-84"	"2000"	"2000"	3105	48388	6416.9
	"75-84 years"	"75-84"	"2001"	"2001"	3128	49154	6363.7
	"75-84 years"	"75-84"	"2002"	"2002"	3270	50074	6530.3
	"75-84 years"	"75-84"	"2003"	"2003"	3181	50767	6265.9
	"75-84 years"	"75-84"	"2004"	"2004"	2968	51138	5803.9
	"75-84 years"	"75-84"	"2005"	"2005"	3117	51717	6027.0
	"75-84 years"	"75-84"	"2006"	"2006"	2947	52102	5656.2
	"75-84 years"	"75-84"	"2007"	"2007"	3008	52164	5766.4
	"75-84 years"	"75-84"	"2008"	"2008"	2889	51967	5559.3
