"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	204	23581	865.1
	"< 1 year"	"1"	"2000"	"2000"	207	23915	865.6
	"< 1 year"	"1"	"2001"	"2001"	200	25630	780.3
	"< 1 year"	"1"	"2002"	"2002"	211	25164	838.5
	"< 1 year"	"1"	"2003"	"2003"	213	25297	842.0
	"< 1 year"	"1"	"2004"	"2004"	197	25712	766.2
	"< 1 year"	"1"	"2005"	"2005"	202	25554	790.5
	"< 1 year"	"1"	"2006"	"2006"	219	26392	829.8
	"< 1 year"	"1"	"2007"	"2007"	221	26966	819.6
	"< 1 year"	"1"	"2008"	"2008"	214	26576	805.2
	"< 1 year"	"1"	"2009"	"2009"	203	26403	768.9
	"< 1 year"	"1"	"2010"	"2010"	192	25980	739.0
	"< 1 year"	"1"	"2011"	"2011"	216	26432	817.2
	"< 1 year"	"1"	"2012"	"2012"	212	25850	820.1
	"< 1 year"	"1"	"2013"	"2013"	202	26354	766.5
	"< 1 year"	"1"	"2014"	"2014"	207	26933	768.6
	"< 1 year"	"1"	"2015"	"2015"	189	27740	681.3
	"< 1 year"	"1"	"2016"	"2016"	224	27691	808.9
	"1-4 years"	"1-4"	"1999"	"1999"	34	95195	35.7
	"1-4 years"	"1-4"	"2000"	"2000"	30	95888	31.3
	"1-4 years"	"1-4"	"2001"	"2001"	33	96263	34.3
	"1-4 years"	"1-4"	"2002"	"2002"	23	98323	23.4
	"1-4 years"	"1-4"	"2003"	"2003"	32	99574	32.1
	"1-4 years"	"1-4"	"2004"	"2004"	39	100683	38.7
	"1-4 years"	"1-4"	"2005"	"2005"	21	101754	20.6
	"1-4 years"	"1-4"	"2006"	"2006"	23	101498	22.7
	"1-4 years"	"1-4"	"2007"	"2007"	25	102695	24.3
	"1-4 years"	"1-4"	"2008"	"2008"	31	103959	29.8
	"1-4 years"	"1-4"	"2009"	"2009"	25	105323	23.7
	"1-4 years"	"1-4"	"2010"	"2010"	28	105778	26.5
	"1-4 years"	"1-4"	"2011"	"2011"	35	105290	33.2
	"1-4 years"	"1-4"	"2012"	"2012"	21	105036	20.0
	"1-4 years"	"1-4"	"2013"	"2013"	33	105443	31.3
	"1-4 years"	"1-4"	"2014"	"2014"	27	106364	25.4
	"1-4 years"	"1-4"	"2015"	"2015"	24	107715	22.3
	"1-4 years"	"1-4"	"2016"	"2016"	33	110671	29.8
	"5-14 years"	"5-14"	"1999"	"1999"	36	239056	15.1
	"5-14 years"	"5-14"	"2000"	"2000"	39	241752	16.1
	"5-14 years"	"5-14"	"2001"	"2001"	34	244959	13.9
	"5-14 years"	"5-14"	"2002"	"2002"	42	246084	17.1
	"5-14 years"	"5-14"	"2003"	"2003"	38	247781	15.3
	"5-14 years"	"5-14"	"2004"	"2004"	38	249370	15.2
	"5-14 years"	"5-14"	"2005"	"2005"	37	250427	14.8
	"5-14 years"	"5-14"	"2006"	"2006"	36	252812	14.2
	"5-14 years"	"5-14"	"2007"	"2007"	24	254795	9.4
	"5-14 years"	"5-14"	"2008"	"2008"	34	257116	13.2
	"5-14 years"	"5-14"	"2009"	"2009"	31	259560	11.9
	"5-14 years"	"5-14"	"2010"	"2010"	30	261298	11.5
	"5-14 years"	"5-14"	"2011"	"2011"	29	262716	11.0
	"5-14 years"	"5-14"	"2012"	"2012"	29	265716	10.9
	"5-14 years"	"5-14"	"2013"	"2013"	36	266628	13.5
	"5-14 years"	"5-14"	"2014"	"2014"	32	268121	11.9
	"5-14 years"	"5-14"	"2015"	"2015"	39	268877	14.5
	"5-14 years"	"5-14"	"2016"	"2016"	48	268021	17.9
	"15-24 years"	"15-24"	"1999"	"1999"	155	241481	64.2
	"15-24 years"	"15-24"	"2000"	"2000"	154	243296	63.3
	"15-24 years"	"15-24"	"2001"	"2001"	158	250565	63.1
	"15-24 years"	"15-24"	"2002"	"2002"	163	252962	64.4
	"15-24 years"	"15-24"	"2003"	"2003"	178	254986	69.8
	"15-24 years"	"15-24"	"2004"	"2004"	190	254914	74.5
	"15-24 years"	"15-24"	"2005"	"2005"	193	255813	75.4
	"15-24 years"	"15-24"	"2006"	"2006"	155	258725	59.9
	"15-24 years"	"15-24"	"2007"	"2007"	194	262337	74.0
	"15-24 years"	"15-24"	"2008"	"2008"	178	267412	66.6
	"15-24 years"	"15-24"	"2009"	"2009"	166	271866	61.1
	"15-24 years"	"15-24"	"2010"	"2010"	182	273936	66.4
	"15-24 years"	"15-24"	"2011"	"2011"	187	272635	68.6
	"15-24 years"	"15-24"	"2012"	"2012"	170	272484	62.4
	"15-24 years"	"15-24"	"2013"	"2013"	165	269435	61.2
	"15-24 years"	"15-24"	"2014"	"2014"	172	268874	64.0
	"15-24 years"	"15-24"	"2015"	"2015"	210	268269	78.3
	"15-24 years"	"15-24"	"2016"	"2016"	190	268617	70.7
	"25-34 years"	"25-34"	"1999"	"1999"	248	265392	93.4
	"25-34 years"	"25-34"	"2000"	"2000"	214	265262	80.7
	"25-34 years"	"25-34"	"2001"	"2001"	259	265867	97.4
	"25-34 years"	"25-34"	"2002"	"2002"	251	267912	93.7
	"25-34 years"	"25-34"	"2003"	"2003"	229	271647	84.3
	"25-34 years"	"25-34"	"2004"	"2004"	243	273879	88.7
	"25-34 years"	"25-34"	"2005"	"2005"	262	275472	95.1
	"25-34 years"	"25-34"	"2006"	"2006"	279	275473	101.3
	"25-34 years"	"25-34"	"2007"	"2007"	287	276186	103.9
	"25-34 years"	"25-34"	"2008"	"2008"	279	276720	100.8
	"25-34 years"	"25-34"	"2009"	"2009"	277	277448	99.8
	"25-34 years"	"25-34"	"2010"	"2010"	291	276931	105.1
	"25-34 years"	"25-34"	"2011"	"2011"	289	283425	102.0
	"25-34 years"	"25-34"	"2012"	"2012"	287	287846	99.7
	"25-34 years"	"25-34"	"2013"	"2013"	302	296375	101.9
	"25-34 years"	"25-34"	"2014"	"2014"	271	305128	88.8
	"25-34 years"	"25-34"	"2015"	"2015"	355	312608	113.6
	"25-34 years"	"25-34"	"2016"	"2016"	392	319276	122.8
	"35-44 years"	"35-44"	"1999"	"1999"	510	277299	183.9
	"35-44 years"	"35-44"	"2000"	"2000"	510	278035	183.4
	"35-44 years"	"35-44"	"2001"	"2001"	516	278582	185.2
	"35-44 years"	"35-44"	"2002"	"2002"	541	276234	195.8
	"35-44 years"	"35-44"	"2003"	"2003"	552	274578	201.0
	"35-44 years"	"35-44"	"2004"	"2004"	491	274195	179.1
	"35-44 years"	"35-44"	"2005"	"2005"	563	274549	205.1
	"35-44 years"	"35-44"	"2006"	"2006"	511	275229	185.7
	"35-44 years"	"35-44"	"2007"	"2007"	493	274696	179.5
	"35-44 years"	"35-44"	"2008"	"2008"	516	272460	189.4
	"35-44 years"	"35-44"	"2009"	"2009"	500	269058	185.8
	"35-44 years"	"35-44"	"2010"	"2010"	467	268017	174.2
	"35-44 years"	"35-44"	"2011"	"2011"	461	267338	172.4
	"35-44 years"	"35-44"	"2012"	"2012"	449	267669	167.7
	"35-44 years"	"35-44"	"2013"	"2013"	481	269586	178.4
	"35-44 years"	"35-44"	"2014"	"2014"	436	270951	160.9
	"35-44 years"	"35-44"	"2015"	"2015"	505	272529	185.3
	"35-44 years"	"35-44"	"2016"	"2016"	523	272527	191.9
	"45-54 years"	"45-54"	"1999"	"1999"	838	215974	388.0
	"45-54 years"	"45-54"	"2000"	"2000"	930	223575	416.0
	"45-54 years"	"45-54"	"2001"	"2001"	1017	235251	432.3
	"45-54 years"	"45-54"	"2002"	"2002"	1026	238476	430.2
	"45-54 years"	"45-54"	"2003"	"2003"	1044	243489	428.8
	"45-54 years"	"45-54"	"2004"	"2004"	1070	248971	429.8
	"45-54 years"	"45-54"	"2005"	"2005"	1108	255225	434.1
	"45-54 years"	"45-54"	"2006"	"2006"	1173	261446	448.7
	"45-54 years"	"45-54"	"2007"	"2007"	1168	266092	438.9
	"45-54 years"	"45-54"	"2008"	"2008"	1213	270317	448.7
