"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	167	14079	1186.2
	"< 1 year"	"1"	"2000"	"2000"	172	14139	1216.5
	"< 1 year"	"1"	"2001"	"2001"	164	14926	1098.8
	"< 1 year"	"1"	"2002"	"2002"	147	14464	1016.3
	"< 1 year"	"1"	"2003"	"2003"	140	14263	981.6
	"< 1 year"	"1"	"2004"	"2004"	141	14578	967.2
	"< 1 year"	"1"	"2005"	"2005"	158	14690	1075.6
	"< 1 year"	"1"	"2006"	"2006"	164	14984	1094.5
	"< 1 year"	"1"	"2007"	"2007"	173	15458	1119.2
	"< 1 year"	"1"	"2008"	"2008"	171	15623	1094.5
	"< 1 year"	"1"	"2009"	"2009"	126	15081	835.5
	"< 1 year"	"1"	"2010"	"2010"	150	14781	1014.8
	"< 1 year"	"1"	"2011"	"2011"	130	15201	855.2
	"< 1 year"	"1"	"2012"	"2012"	151	15375	982.1
	"< 1 year"	"1"	"2013"	"2013"	148	14516	1019.6
	"< 1 year"	"1"	"2014"	"2014"	132	14463	912.7
	"< 1 year"	"1"	"2015"	"2015"	126	14101	893.6
	"< 1 year"	"1"	"2016"	"2016"	129	14378	897.2
	"1-4 years"	"1-4"	"1999"	"1999"	29	56068	51.7
	"1-4 years"	"1-4"	"2000"	"2000"	17	56343	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	32	55985	57.2
	"1-4 years"	"1-4"	"2002"	"2002"	16	56793	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	20	57153	35.0
	"1-4 years"	"1-4"	"2004"	"2004"	21	57392	36.6
	"1-4 years"	"1-4"	"2005"	"2005"	20	57738	34.6
	"1-4 years"	"1-4"	"2006"	"2006"	19	57596	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	22	57581	38.2
	"1-4 years"	"1-4"	"2008"	"2008"	21	58847	35.7
	"1-4 years"	"1-4"	"2009"	"2009"	16	59343	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	18	59646	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	17	59561	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	25	59934	41.7
	"1-4 years"	"1-4"	"2013"	"2013"	22	58546	37.6
	"1-4 years"	"1-4"	"2014"	"2014"	15	58126	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	24	57425	41.8
	"1-4 years"	"1-4"	"2016"	"2016"	14	57670	Unreliable
