"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	192	25880	741.9
	"< 1 year"	"1"	"2000"	"2000"	168	26039	645.2
	"< 1 year"	"1"	"2001"	"2001"	200	27224	734.6
	"< 1 year"	"1"	"2002"	"2002"	192	27183	706.3
	"< 1 year"	"1"	"2003"	"2003"	180	27989	643.1
	"< 1 year"	"1"	"2004"	"2004"	210	27749	756.8
	"< 1 year"	"1"	"2005"	"2005"	196	27368	716.2
	"< 1 year"	"1"	"2006"	"2006"	226	28205	801.3
	"< 1 year"	"1"	"2007"	"2007"	217	28862	751.9
	"< 1 year"	"1"	"2008"	"2008"	228	28405	802.7
	"< 1 year"	"1"	"2009"	"2009"	168	28182	596.1
	"< 1 year"	"1"	"2010"	"2010"	160	28211	567.2
	"< 1 year"	"1"	"2011"	"2011"	157	27855	563.6
	"< 1 year"	"1"	"2012"	"2012"	157	27296	575.2
	"< 1 year"	"1"	"2013"	"2013"	159	27528	577.6
	"< 1 year"	"1"	"2014"	"2014"	154	27591	558.2
	"< 1 year"	"1"	"2015"	"2015"	160	27478	582.3
	"< 1 year"	"1"	"2016"	"2016"	143	27391	522.1
	"1-4 years"	"1-4"	"1999"	"1999"	30	103532	29.0
	"1-4 years"	"1-4"	"2000"	"2000"	37	104258	35.5
	"1-4 years"	"1-4"	"2001"	"2001"	35	104972	33.3
	"1-4 years"	"1-4"	"2002"	"2002"	40	107353	37.3
	"1-4 years"	"1-4"	"2003"	"2003"	32	108551	29.5
	"1-4 years"	"1-4"	"2004"	"2004"	30	110328	27.2
	"1-4 years"	"1-4"	"2005"	"2005"	26	111763	23.3
	"1-4 years"	"1-4"	"2006"	"2006"	33	111565	29.6
	"1-4 years"	"1-4"	"2007"	"2007"	31	112512	27.6
	"1-4 years"	"1-4"	"2008"	"2008"	25	113110	22.1
	"1-4 years"	"1-4"	"2009"	"2009"	36	114468	31.4
	"1-4 years"	"1-4"	"2010"	"2010"	37	115760	32.0
	"1-4 years"	"1-4"	"2011"	"2011"	25	114457	21.8
	"1-4 years"	"1-4"	"2012"	"2012"	26	113249	23.0
	"1-4 years"	"1-4"	"2013"	"2013"	30	112258	26.7
	"1-4 years"	"1-4"	"2014"	"2014"	19	111709	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	25	111051	22.5
	"1-4 years"	"1-4"	"2016"	"2016"	31	112197	27.6
	"5-14 years"	"5-14"	"1999"	"1999"	40	270256	14.8
	"5-14 years"	"5-14"	"2000"	"2000"	55	271330	20.3
	"5-14 years"	"5-14"	"2001"	"2001"	43	272488	15.8
	"5-14 years"	"5-14"	"2002"	"2002"	41	273517	15.0
	"5-14 years"	"5-14"	"2003"	"2003"	37	273870	13.5
	"5-14 years"	"5-14"	"2004"	"2004"	34	273762	12.4
	"5-14 years"	"5-14"	"2005"	"2005"	32	273347	11.7
	"5-14 years"	"5-14"	"2006"	"2006"	38	275334	13.8
	"5-14 years"	"5-14"	"2007"	"2007"	34	278144	12.2
	"5-14 years"	"5-14"	"2008"	"2008"	32	280672	11.4
	"5-14 years"	"5-14"	"2009"	"2009"	38	284050	13.4
	"5-14 years"	"5-14"	"2010"	"2010"	47	286270	16.4
	"5-14 years"	"5-14"	"2011"	"2011"	35	287896	12.2
	"5-14 years"	"5-14"	"2012"	"2012"	43	288972	14.9
	"5-14 years"	"5-14"	"2013"	"2013"	44	290786	15.1
	"5-14 years"	"5-14"	"2014"	"2014"	45	291166	15.5
	"5-14 years"	"5-14"	"2015"	"2015"	39	291291	13.4
	"5-14 years"	"5-14"	"2016"	"2016"	39	290950	13.4
	"15-24 years"	"15-24"	"1999"	"1999"	230	231860	99.2
	"15-24 years"	"15-24"	"2000"	"2000"	258	234206	110.2
	"15-24 years"	"15-24"	"2001"	"2001"	260	239176	108.7
	"15-24 years"	"15-24"	"2002"	"2002"	262	242365	108.1
	"15-24 years"	"15-24"	"2003"	"2003"	197	245257	80.3
	"15-24 years"	"15-24"	"2004"	"2004"	239	247981	96.4
	"15-24 years"	"15-24"	"2005"	"2005"	244	250563	97.4
	"15-24 years"	"15-24"	"2006"	"2006"	257	251889	102.0
	"15-24 years"	"15-24"	"2007"	"2007"	228	251284	90.7
	"15-24 years"	"15-24"	"2008"	"2008"	266	252001	105.6
	"15-24 years"	"15-24"	"2009"	"2009"	221	251436	87.9
	"15-24 years"	"15-24"	"2010"	"2010"	239	251130	95.2
	"15-24 years"	"15-24"	"2011"	"2011"	219	249832	87.7
	"15-24 years"	"15-24"	"2012"	"2012"	214	252005	84.9
	"15-24 years"	"15-24"	"2013"	"2013"	188	255398	73.6
	"15-24 years"	"15-24"	"2014"	"2014"	186	257390	72.3
	"15-24 years"	"15-24"	"2015"	"2015"	242	259576	93.2
	"15-24 years"	"15-24"	"2016"	"2016"	249	258528	96.3
	"25-34 years"	"25-34"	"1999"	"1999"	271	263524	102.8
	"25-34 years"	"25-34"	"2000"	"2000"	249	262780	94.8
	"25-34 years"	"25-34"	"2001"	"2001"	257	262180	98.0
